season,team,games_played,home_games_played,away_games_played,wins,losses,draws,wins_home,wins_away,losses_home,losses_away,draws_home,draws_away,goals_score_total,conceded_total,goals_home,goals_away,conceded_home,conceded_away,goals_first_time_total,goals_second_time_total,goals_first_time_home,goals_first_time_away,goals_second_time_home,goals_second_time_away,goals_difference,points,win_rate_home,win_rate_away,win_rate,loss_rate_home,loss_rate_away,loss_rate,draw_rate_home,draw_rate_away,draw_rate,clean_sheets,goals_conceded_per_game,goals_conceded_per_game_home,goals_conceded_per_game_away,goals_scored_per_game,goals_scored_per_game_home,goals_scored_per_game_away,failed_to_score
2021,Arsenal,38,19,19,22,13,3,13,9,4,9,2,1,61,48,35,26,17,31,33,28,16,17,19,9,13,69,0.6842105263157895,0.47368421052631576,0.5789473684210527,0.21052631578947367,0.47368421052631576,0.34210526315789475,0.10526315789473684,0.05263157894736842,0.07894736842105263,13,1.263157894736842,0.8947368421052632,1.631578947368421,1.605263157894737,1.8421052631578947,1.368421052631579,11
2021,Aston Villa,38,19,19,13,19,6,6,7,8,11,5,1,52,54,29,23,29,25,21,31,12,9,17,14,-2,45,0.3157894736842105,0.3684210526315789,0.34210526315789475,0.42105263157894735,0.5789473684210527,0.5,0.2631578947368421,0.05263157894736842,0.15789473684210525,11,1.4210526315789473,1.5263157894736843,1.3157894736842106,1.368421052631579,1.5263157894736843,1.2105263157894737,8
2021,Brentford,38,19,19,13,18,7,7,6,9,9,3,4,48,56,22,26,21,35,16,32,6,10,16,16,-8,46,0.3684210526315789,0.3157894736842105,0.34210526315789475,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.15789473684210525,0.21052631578947367,0.18421052631578946,9,1.4736842105263157,1.105263157894737,1.8421052631578947,1.263157894736842,1.1578947368421053,1.368421052631579,12
2021,Brighton,38,19,19,12,11,15,5,7,7,4,7,8,42,44,19,23,23,21,16,26,9,7,10,16,-2,51,0.2631578947368421,0.3684210526315789,0.3157894736842105,0.3684210526315789,0.21052631578947367,0.2894736842105263,0.3684210526315789,0.42105263157894735,0.39473684210526316,11,1.1578947368421053,1.2105263157894737,1.105263157894737,1.105263157894737,1.0,1.2105263157894737,13
2021,Burnley,38,19,19,7,17,14,5,2,8,9,6,8,34,53,18,16,25,28,17,17,9,8,9,8,-19,35,0.2631578947368421,0.10526315789473684,0.18421052631578946,0.42105263157894735,0.47368421052631576,0.4473684210526316,0.3157894736842105,0.42105263157894735,0.3684210526315789,9,1.394736842105263,1.3157894736842106,1.4736842105263157,0.8947368421052632,0.9473684210526315,0.8421052631578947,16
2021,Chelsea,38,19,19,21,6,11,9,12,3,3,7,4,76,33,37,39,22,11,34,42,16,18,21,21,43,74,0.47368421052631576,0.631578947368421,0.5526315789473685,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.3684210526315789,0.21052631578947367,0.2894736842105263,16,0.868421052631579,1.1578947368421053,0.5789473684210527,2.0,1.9473684210526316,2.0526315789473686,4
2021,Crystal Palace,38,19,19,11,12,15,7,4,4,8,8,7,50,46,27,23,17,29,21,29,11,10,16,13,4,48,0.3684210526315789,0.21052631578947367,0.2894736842105263,0.21052631578947367,0.42105263157894735,0.3157894736842105,0.42105263157894735,0.3684210526315789,0.39473684210526316,12,1.2105263157894737,0.8947368421052632,1.5263157894736843,1.3157894736842106,1.4210526315789473,1.2105263157894737,11
2021,Everton,38,19,19,11,21,6,9,2,8,13,2,4,43,66,27,16,25,41,16,27,8,8,19,8,-23,39,0.47368421052631576,0.10526315789473684,0.2894736842105263,0.42105263157894735,0.6842105263157895,0.5526315789473685,0.10526315789473684,0.21052631578947367,0.15789473684210525,8,1.736842105263158,1.3157894736842106,2.1578947368421053,1.131578947368421,1.4210526315789473,0.8421052631578947,12
2021,Leeds,38,19,19,9,18,11,4,5,9,9,6,5,42,79,19,23,38,41,16,26,8,8,11,15,-37,38,0.21052631578947367,0.2631578947368421,0.23684210526315788,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.3157894736842105,0.2631578947368421,0.2894736842105263,5,2.0789473684210527,2.0,2.1578947368421053,1.105263157894737,1.0,1.2105263157894737,13
2021,Leicester,38,19,19,14,14,10,10,4,5,9,4,6,62,59,34,28,23,36,27,35,14,13,20,15,3,52,0.5263157894736842,0.21052631578947367,0.3684210526315789,0.2631578947368421,0.47368421052631576,0.3684210526315789,0.21052631578947367,0.3157894736842105,0.2631578947368421,7,1.5526315789473684,1.2105263157894737,1.894736842105263,1.631578947368421,1.7894736842105263,1.4736842105263157,6
2021,Liverpool,38,19,19,28,2,8,15,13,0,2,4,4,94,26,49,45,9,17,44,50,21,23,28,22,68,92,0.7894736842105263,0.6842105263157895,0.7368421052631579,0.0,0.10526315789473684,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.21052631578947367,21,0.6842105263157895,0.47368421052631576,0.8947368421052632,2.473684210526316,2.5789473684210527,2.3684210526315788,1
2021,Manchester City,38,19,19,29,3,6,15,14,2,1,2,4,99,26,58,41,15,11,45,54,26,19,32,22,73,93,0.7894736842105263,0.7368421052631579,0.7631578947368421,0.10526315789473684,0.05263157894736842,0.07894736842105263,0.10526315789473684,0.21052631578947367,0.15789473684210525,21,0.6842105263157895,0.7894736842105263,0.5789473684210527,2.6052631578947367,3.0526315789473686,2.1578947368421053,4
